Misconfiguration,Tool,N_misc_before,N_misc_after,Undetected,Is_applied
fuzz_ssh_port,checkov,1,1,True,True
fuzz_ssh_port,kubesec,3,3,True,True
fuzz_ssh_port,kubeaudit,1,1,True,True
fuzz_ssh_port,kubescore,2,2,True,True
fuzz_memory_limit,checkov,1,1,True,False
fuzz_memory_limit,kubesec,3,3,True,False
fuzz_memory_limit,kubeaudit,1,2,False,False
fuzz_memory_limit,kubescore,2,3,False,False
fuzz_memory_request,checkov,1,1,True,True
fuzz_memory_request,kubesec,3,3,True,True
fuzz_memory_request,kubeaudit,1,1,True,True
fuzz_memory_request,kubescore,2,3,False,True
fuzz_cpu_limit,checkov,1,1,True,False
fuzz_cpu_limit,kubesec,3,3,True,False
fuzz_cpu_limit,kubeaudit,1,1,True,False
fuzz_cpu_limit,kubescore,2,2,True,False
fuzz_cpu_request,checkov,1,1,True,True
fuzz_cpu_request,kubesec,3,3,True,True
fuzz_cpu_request,kubeaudit,1,1,True,True
fuzz_cpu_request,kubescore,2,3,False,True
fuzz_imagePullPolicy,checkov,1,1,True,False
fuzz_imagePullPolicy,kubesec,3,3,True,False
fuzz_imagePullPolicy,kubeaudit,1,1,True,False
fuzz_imagePullPolicy,kubescore,2,3,False,False
fuzz_group,checkov,1,1,True,True
fuzz_group,kubesec,3,4,False,True
fuzz_group,kubeaudit,1,1,True,True
fuzz_group,kubescore,2,3,False,True
fuzz_sha,checkov,1,1,True,True
fuzz_sha,kubesec,3,3,True,True
fuzz_sha,kubeaudit,1,1,True,True
fuzz_sha,kubescore,2,2,True,True
fuzz_securityContext_1,checkov,1,2,False,True
fuzz_securityContext_1,kubesec,3,4,False,True
fuzz_securityContext_1,kubeaudit,1,2,False,True
fuzz_securityContext_1,kubescore,2,3,False,True
fuzz_drop,checkov,1,3,False,True
fuzz_drop,kubesec,3,4,False,True
fuzz_drop,kubeaudit,1,2,False,True
fuzz_drop,kubescore,2,2,True,True
fuzz_runAsUser,checkov,1,3,False,False
fuzz_runAsUser,kubesec,3,4,False,False
fuzz_runAsUser,kubeaudit,1,1,True,False
fuzz_runAsUser,kubescore,2,3,False,False
fuzz_PrivilegeEscalation,checkov,1,2,False,True
fuzz_PrivilegeEscalation,kubesec,3,3,True,True
fuzz_PrivilegeEscalation,kubeaudit,1,2,False,True
fuzz_PrivilegeEscalation,kubescore,2,2,True,True
fuzz_RootFilesystem,checkov,1,2,False,True
fuzz_RootFilesystem,kubesec,3,4,False,True
fuzz_RootFilesystem,kubeaudit,1,2,False,True
fuzz_RootFilesystem,kubescore,2,3,False,True
fuzz_securityContext_2,checkov,1,2,False,True
fuzz_securityContext_2,kubesec,3,3,True,True
fuzz_securityContext_2,kubeaudit,1,2,False,True
fuzz_securityContext_2,kubescore,2,2,True,True
fuzz_securityContext_3,checkov,1,3,False,True
fuzz_securityContext_3,kubesec,3,5,False,True
fuzz_securityContext_3,kubeaudit,1,2,False,True
fuzz_securityContext_3,kubescore,2,2,True,True
fuzz_securityContext_4,checkov,1,2,False,True
fuzz_securityContext_4,kubesec,3,3,True,True
fuzz_securityContext_4,kubeaudit,1,3,False,True
fuzz_securityContext_4,kubescore,2,2,True,True
fuzz_seccomp_profile,checkov,1,1,True,True
fuzz_seccomp_profile,kubesec,3,3,True,True
fuzz_seccomp_profile,kubeaudit,1,2,False,True
fuzz_seccomp_profile,kubescore,2,2,True,True
fuzz_command,checkov,1,1,True,True
fuzz_command,kubesec,3,3,True,True
fuzz_command,kubeaudit,1,1,True,True
fuzz_command,kubescore,2,2,True,True
fuzz_readOnlyRootFilesystem,checkov,1,2,False,True
fuzz_readOnlyRootFilesystem,kubesec,3,4,False,True
fuzz_readOnlyRootFilesystem,kubeaudit,1,2,False,True
fuzz_readOnlyRootFilesystem,kubescore,2,3,False,True
fuzz_privileged,checkov,1,2,False,False
fuzz_privileged,kubesec,3,3,True,False
fuzz_privileged,kubeaudit,1,2,False,False
fuzz_privileged,kubescore,2,3,False,False
fuzz_allowPrivilegeEscalation,checkov,1,2,False,True
fuzz_allowPrivilegeEscalation,kubesec,3,3,True,True
fuzz_allowPrivilegeEscalation,kubeaudit,1,2,False,True
fuzz_allowPrivilegeEscalation,kubescore,2,2,True,True
fuzz_runAsNonRoot,checkov,1,1,True,True
fuzz_runAsNonRoot,kubesec,3,4,False,True
fuzz_runAsNonRoot,kubeaudit,1,1,True,True
fuzz_runAsNonRoot,kubescore,2,2,True,True
fuzz_automountServiceAccountToken,checkov,1,2,False,True
fuzz_automountServiceAccountToken,kubesec,3,4,False,True
fuzz_automountServiceAccountToken,kubeaudit,1,2,False,True
fuzz_automountServiceAccountToken,kubescore,2,2,True,True
fuzz_command2,checkov,1,1,True,True
fuzz_command2,kubesec,3,3,True,True
fuzz_command2,kubeaudit,1,1,True,True
fuzz_command2,kubescore,2,2,True,True
fuzz_ressources,checkov,1,1,True,True
fuzz_ressources,kubesec,3,3,True,True
fuzz_ressources,kubeaudit,1,2,False,True
fuzz_ressources,kubescore,2,3,False,True
