Variable,Type
apiVersion,str
kind,str
metadata.name,str
metadata.namespace,str
metadata.labels.app,str
spec.replicas,int
spec.selector.matchLabels.app,str
spec.template.metadata.labels.app,str
spec.template.spec.automountServiceAccountToken,bool
spec.template.spec.securityContext.runAsUser,int
spec.template.spec.securityContext.runAsGroup,int
spec.template.spec.securityContext.fsGroup,int
spec.template.spec.securityContext.seccompProfile.type,str
spec.template.spec.containers[0].name,str
spec.template.spec.containers[0].image,str
spec.template.spec.containers[0].command[0],str
spec.template.spec.containers[0].command[1],str
spec.template.spec.containers[0].resources.requests.memory,str
spec.template.spec.containers[0].resources.requests.ephemeral-storage,str
spec.template.spec.containers[0].resources.requests.cpu,str
spec.template.spec.containers[0].resources.limits.memory,str
spec.template.spec.containers[0].resources.limits.ephemeral-storage,str
spec.template.spec.containers[0].resources.limits.cpu,str
spec.template.spec.containers[0].imagePullPolicy,str
spec.template.spec.containers[0].livenessProbe.exec.command[0],str
spec.template.spec.containers[0].livenessProbe.exec.command[1],str
spec.template.spec.containers[0].livenessProbe.initialDelaySeconds,int
spec.template.spec.containers[0].livenessProbe.periodSeconds,int
spec.template.spec.containers[0].readinessProbe.tcpSocket.port,int
spec.template.spec.containers[0].readinessProbe.initialDelaySeconds,int
spec.template.spec.containers[0].readinessProbe.periodSeconds,int
spec.template.spec.containers[0].securityContext.privileged,bool
spec.template.spec.containers[0].securityContext.readOnlyRootFilesystem,bool
spec.template.spec.containers[0].securityContext.allowPrivilegeEscalation,bool
spec.template.spec.containers[0].securityContext.runAsNonRoot,bool
spec.template.spec.containers[0].securityContext.runAsUser,int
spec.template.spec.containers[0].securityContext.runAsGroup,int
spec.template.spec.containers[0].securityContext.seccompProfile.type,str
spec.template.spec.containers[0].securityContext.capabilities.drop[0],str
spec.template.spec.containers[0].ports[0].containerPort,int
